Source,Operator,Activity,smiles
IC50,=,5.823908741,CC(C)Nc1cc(Cl)nc2c(cnn12)C#N
IC50,=,6.772113295,CCn1c(nc2cnccc12)c3nonc3N
IC50,<,4.552841969,NNc1nn2c(Cc3ccccc3)nnc2s1
IC50,=,8.301029996,O=C(NC1=NNC2=CC=CC12)C3CC3
Ki,<,5.065501549,CCOc1nc(NC(=O)C)cc(N)c1C#N
Ki,<,4.698970004,CNc1nccc(n1)c2sc(C)nc2C
IC50,=,6.649751982,CCCC(=O)Nc1cc([nH]n1)C2CC2
IC50,=,6.397940009,Sc1nn2c(COc3ccc(Cl)cc3)nnc2s1
IC50,=,5.15490196,Clc1cncc(Nc2ccccc2)n1
IC50,=,4.602059991,c1ccc2[nH]c(nc2c1)c3cc[nH]n3
IC50,=,4.638272164,Sc1nn2c(Cc3ccccc3)nnc2s1
IC50,=,4.619788758,Cc1nnc2sc(Cc3n[nH]c4NC(=S)NC(=S)c34)nn12
IC50,=,5.040958608,NS(=O)(=O)c1ccc(Nc2cncc(Cl)n2)cc1
IC50,=,4.823908741,NNc1nn2c(COc3ccc(Cl)cc3)nnc2s1
IC50,=,4.070581074,Nc1c[nH]nc1C(=O)Nc2ccc(F)cc2
IC50,=,4.013228266,O=C(Nc1ccccc1)c2cc[nH]n2
IC50,=,6.244125144,Cc1nnc2sc(nn12)c3ccc(N)cc3
IC50,=,3.920818754,NS(=O)(=O)c1cccc2c(O)cccc12
IC50,=,5.22184875,Cc1cc(NC(=O)c2ccc(Br)cc2)n[nH]1
IC50,=,4.795880017,Cc1nnc2sc(SCc3ccccc3)nn12
IC50,=,6.552841969,Nc1nccc(n1)c2ccc3c(N)n[nH]c3c2
IC50,=,5.823908741,Cc1cc(NC(=O)c2ccccc2)n[nH]1
Ki,<,4.698970004,CN(C)c1nccc(n1)c2sc(C)nc2C
IC50,=,6.161150909,CC(C)(C)c1oc(CSc2cnc(N)s2)nc1
IC50,=,5.657577319,Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1
IC50,<,5,Nc1cc(OCC2CCCCC2)nc(N)n1
IC50,=,5.619788758,CC(C)n1cnc2c(N)nc(NCCCO)nc12
IC50,<,3.301029996,C\C(=C(/C#N)\C(=O)Nc1cc(Br)ccc1Br)\O
IC50,=,4.619788758,CCSc1nn2c(COc3ccc(Cl)cc3)nnc2s1
IC50,=,6.070581074,CC(=O)Nc1c[nH]nc1C(=O)Nc2ccc(F)cc2
IC50,=,6.13667714,OCC(=O)Nc1c[nH]nc1C(=O)Nc2ccc(F)cc2
IC50,=,6.619788758,O=C1NCCc2[nH]c(cc12)c3ccncc3
IC50,=,5.397940009,Cc1nc2ccccn2c1c3ccnc(N)n3
IC50,=,6.004364805,CC(=O)Nc1c[nH]nc1c2nc3ccccc3[nH]2
IC50,=,6.200659451,CCc1cc(NC(=O)c2ccc(Br)cc2)[nH]n1
IC50,=,4,COc1ccc(CNC(=O)Nc2ncc(s2)[N+](=O)[O-])cc1
IC50,=,4.619788758,CCSc1nn2c(Cc3ccccc3)nnc2s1
IC50,=,4.886056648,C(Oc1ncnc2[nH]cnc12)C3CCCCC3
IC50,=,4.769551079,Nc1nc(OCC2CCCCC2)c3nc[nH]c3n1
Ki,<,5.067019178,CCN1C2=C(C(=O)ON2)C(=O)c3cc(O)c(Cl)cc13
IC50,=,6,FC(F)(F)CNc1nccc(n1)c2cnn3ncccc23
IC50,<,6,Brc1cc2c(NC(=O)C3CC3)n[nH]c2nc1c4nccs4
IC50,<,5,Clc1cccc(Cl)c1C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,7.080921908,Clc1ccc(cc1Cl)C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,7.455931956,COc1ccc2NC(=O)\C(=C/c3cnc[nH]3)\c2c1
IC50,=,6.004364805,Brc1cccc(c1)C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,5.823908741,Brc1ccccc1C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,7.468521083,Brc1ccc(cc1)C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,6,Clc1cccc(c1)C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,5,Clc1ccccc1C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,7.070581074,Clc1ccc(cc1)C(=O)Nc2cc([nH]n2)C3CC3
IC50,=,6.920818754,C1CC1Nc2nccc(n2)c3cnn4ncccc34
IC50,=,6.537602002,O=C(Nc1cc(n[nH]1)C2CC2)c3ccccc3
IC50,=,7.698970004,COc1ccc2nc3[nH]nc(C)c3c(OC)c2c1
IC50,=,6.187086643,CCCc1cc(NC(=O)c2ccc(Br)cc2)n[nH]1
IC50,=,6.698970004,CC(C)c1cc(NC(=O)c2ccc(Br)cc2)n[nH]1
IC50,<,4,Cn1cnc2c(OCC3CCCCC3)nc(N)nc12
Ki,=,5.698970004,NC1=NC(=O)\C(=C\c2ccc3ncccc3c2)\S1
IC50,<,5,Oc1[nH]c2ccc(Br)cc2c1N=Nc3ccccc3
IC50,=,6.244125144,NS(=O)(=O)c1ccc(cc1Cl)c2oc(\C=C\3/SC(=N)NC3=O)cc2
IC50,=,4.022276395,Cc1nc2ccccn2c1c3ccnc(NC(=O)C(F)(F)F)n3
IC50,=,4.568636236,NS(=O)(=O)c1ccc(cc1)c2oc(\C=C\3/SC(=O)NC3=O)cc2
IC50,<,6,Brc1cc2c(NC(=O)C3CC3)n[nH]c2nc1c4occc4
IC50,=,7.366531544,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cc(Br)ccc23)cc1
IC50,=,6.194499142,Brc1cc2c(NC(=O)C3CC3)n[nH]c2nc1c4cccs4
IC50,=,7.522878745,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(Cl)cc23)cc1
IC50,=,6.744727495,Nc1nc(O)c(Cc2nn3c(COc4ccc(Cl)cc4)nnc3s2)s1
IC50,=,7.468521083,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(F)cc23)cc1
IC50,=,8.337242168,NS(=O)(=O)c1ccc(cc1)N=Nc2c(O)[nH]c3cccc(I)c23
IC50,=,8.337242168,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cccc(I)c23)cc1
IC50,=,7.958607315,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(I)cc23)cc1
IC50,=,5.522878745,O=C(Nc1ccccc1)c2n[nH]c3ccccc23
IC50,<,5,Oc1[nH]c2ccccc2c1N=Nc3ccccc3
IC50,=,6.744727495,NS(=O)(=O)c1ccc(cc1)c2oc(\C=C\3/SC(=N)NC3=O)cc2
IC50,=,7.823908741,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3ccc(cc23)[N+](=O)[O-])cc1
IC50,=,5.619788758,NS(=O)(=O)c1ccc(N\N=C\2/C(=O)Nc3cccc(c23)[N+](=O)[O-])cc1
